,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
20,Syndromes and a Century,2006,Apichatpong Weerasethakul,"['Nantarat Sawaddikul', 'Jaruchai Iamaram', 'Sophon Pukanok', 'Jenjira Pongpas', 'Arkanae Cherkam', 'Sakda Kaewbuadee', 'Nu Nimsomboon', 'Apirak Mitrpracha', 'Manasanant Porndispong', 'Wanna Wattanajinda', 'Sin Kaewpakpin', 'Norathep Panyanavakij', 'Nitipong Thinthupthai', 'Putthithorn Kammak', 'Jarunee Saengtupthim', 'Rangsan Sutthimaneenun', 'Kasansaeng Kamnerdmee']",,3.98,https://letterboxd.com//film/syndromes-and-a-century/
21,Inland Empire,2006,David Lynch,"['Laura Dern', 'Jeremy Irons', 'Justin Theroux', 'Harry Dean Stanton', 'Karolina Gruszka', 'Peter J. Lucas', 'Krzysztof Majchrzak', 'Jan Hencz', 'Grace Zabriskie', 'William H. Macy', 'Ian Abercrombie', 'Amanda Foreman', 'Cameron Daddo', 'Neil Dickson', 'Diane Ladd', 'Stanislaw Kazimierz Cybulski', 'Henryka Cybulski', 'Julia Ormond', 'Jordan Ladd', 'Terryn Westbrook', 'Kristen Kerr', 'Mary Steenburgen', 'Masuimi Max', 'Robert Charles Hunter', 'Terry Crews', 'Nastassja Kinski', 'Laura Harring', 'Scott Coffey', 'Naomi Watts', 'Emily Stofle', 'Jerry Stahl', 'John T. Churchill', 'Chamonix Bosch', 'Bellina Logan', 'Sara Glaser', 'Edward St. George', 'Jeremy Alter', 'Marsha Lewis', 'Austin Jack Lynch', 'Jason Weinberg', 'Heidi Bivens', 'Scott Andrew Ressler', 'Kat Turner', 'Stanley Kamel', 'Marek Zydowicz', 'Leon Niemczyk', 'Tracy Ashton', 'Dominique Vandenberg', 'Nick 13', 'Keith Kjarval', 'Kris Kane', 'David Lynch', 'Wendy Rhodes']",,3.79,https://letterboxd.com//film/inland-empire/
22,Skinamarink,2022,Kyle Edward Ball,"['Lucas Paul', 'Dali Rose Tetreault', 'Ross Paul', 'Jaime Hill']",,3.0,https://letterboxd.com//film/skinamarink/
23,TÁR,2022,Todd Field,"['Cate Blanchett', 'Nina Hoss', 'Noémie Merlant', 'Sophie Kauer', 'Julian Glover', 'Mark Strong', 'Sylvia Flote', 'Mila Bogojevic', 'Allan Corduner', 'Fabian Dirr', 'Vincent Riotta', 'Sam Douglas', 'Lucie Pohl', 'Vivian Full', 'Lee Sellars', 'Ed White', 'Christoph Tomanek', 'Frank Röth', 'André Röhner', 'Jessica Hansen', 'Murali Perumal', 'Sydney Lemmon', 'Dorothea Plans Casal', 'Jan Wolf', 'Peter Hering', 'Artjom Gilz', 'Marie-Lou Sellem', 'Marie-Anne Fliegel', 'Jasmine Leung', 'Chalee Sricharoen', 'Lydia Schamschula', 'Tilla Kratochwil', 'Zethphan Smith-Gneist', 'Adam Gopnik', 'Alec Baldwin', 'Marc-Martin Straub', 'Egon Brandstetter', 'Ylva Pollak', 'Paula Först', 'Nicolas Hopchet', 'Kitty Watson', 'Alma Löhr', 'Christian Höcherl', 'Han Lai', 'Andreas Jentzsch', 'Daniel Söhner', 'Alexandra Montag', 'Rose Knox-Peebles', 'Normann Höhne', 'Sven Rothe', 'Johann von Bülow', 'Oliver Mills', 'Xenia Assenza', 'Johanne Murdock', 'Burkhard Nitsch', 'Sarah Bauerett', 'Ian Gallego', 'Joy Villanueva', 'Aldrin Poblete', 'Froilan Japano', 'Pattarawadee Thiwwatpakorn', 'Parami Mingmitpatanakun', 'Prapruttam Khumchat', 'Jevimary de Guia', 'Kenneth Won', 'An Cerne', 'Wenteng Chang', 'Songha Choi', 'Rucheng Fan', 'Christopher Lindner', 'Sarah Martin', 'Levin Petersen', 'Qu Yunrui', 'Diana Birenytė', 'Arthur Gannaban', 'Phongphairoj Lertsudwichai']",,3.96,https://letterboxd.com//film/tar-2022/
24,Hold Me Tight,2021,Mathieu Amalric,"['Vicky Krieps', 'Arieh Worthalter', 'Anne-Sophie Bowen-Chatet', 'Sacha Ardilly', 'Juliette Benveniste', 'Aurèle Grzesik', 'Aurélia Petit', 'Erwan Ribard', 'Cuca Bañeres Flos', 'Samuel Mathieu', 'Jean-Philippe Petit', 'Jean-Marc Supinski', 'Sylvain Micard', 'Siméon Micard', 'Victor Abadia', 'Clémentine Carrié', 'Pol Léon Perati']",,3.54,https://letterboxd.com//film/hold-me-tight-2021-1/
25,Maborosi,1995,Hirokazu Kore-eda,"['Makiko Esumi', 'Tadanobu Asano', 'Takashi Naito', 'Gohki Kashiyama', 'Naomi Watanabe', 'Midori Kiuchi', 'Akira Emoto', 'Mutsuko Sakura', 'Ren Osugi', 'Kikuko Hashimoto', 'Shuichi Harada', 'Takashi Inoue', 'Hidekazu Akai', 'Hiromi Ichida', 'Minori Terada', 'Sayaka Yoshino']",,4.03,https://letterboxd.com//film/maborosi/
26,Odd Man Out,1947,Carol Reed,"['James Mason', 'Robert Newton', 'Cyril Cusack', 'F.J. McCormick', 'Kathleen Ryan', 'William Hartnell', 'Fay Compton', 'W.G. Fay', ""Denis O'Dea"", 'Maureen Delaney', 'Elwyn Brook-Jones', 'Robert Beatty', ""Dan O'Herlihy"", 'Kitty Kirwan', 'Beryl Measor', 'Roy Irving', 'Joseph Tomelty', 'Arthur Hambling', 'Ann Clery', 'Maura Milligan', 'Maureen Cusack', 'Eddie Byrne', 'Wilfrid Brambell', 'Dora Bryan', 'Steve Donahue', 'Harry Hutchinson', 'Geoffrey Keen', 'Pat McGrath', 'Maurice Millard', 'Noel Purcell', 'Guy Rolfe', 'Albert Sharpe', 'Robert Brooks Turner', 'Valentine Vousden']",,3.86,https://letterboxd.com//film/odd-man-out/
27,A Borrowed Life,1994,Wu Nien-Jen,"['Tsai Chen-Nan', 'Jun Fu', 'Ing-How Tan', 'Akio Chen', 'Yung-Feng Lee']",,3.99,https://letterboxd.com//film/a-borrowed-life/
28,My Name Is Nobody,1973,Tonino Valerii,"['Terence Hill', 'Henry Fonda', 'Jean Martin', 'R. G. Armstrong', 'Karl Braun', 'Leo Gordon', 'Steve Kanaly', 'Geoffrey Lewis', 'Neil Summers', 'Piero Lulli', 'Mario Brega', 'Marc Mazza', 'Benito Stefanelli', 'Alexander Allerson', 'Rainer Peets', 'Antoine Saint-John', 'Franco Angrisano', 'Tommy Polgár', 'Antonio Palombi', 'Hubert Mittendorf', 'Emil Feist', 'Carla Mancini', 'Luigi Antonio Guerra', 'Angelo Novi', 'Ullrich Müller', 'Claus Schmidt', 'Maurice Kowalewski']",,3.61,https://letterboxd.com//film/my-name-is-nobody/
29,The Purple Rose of Cairo,1985,Woody Allen,"['Mia Farrow', 'Jeff Daniels', 'Danny Aiello', 'Irving Metzman', 'Stephanie Farrow', 'Edward Herrmann', 'John Wood', 'Deborah Rush', 'Van Johnson', 'Zoe Caldwell', 'Milo O’Shea', 'Dianne Wiest', 'Glenne Headly', 'Paul Herman', 'Rick Petrucelli', 'Peter Castellotti', 'John Rothman', 'David Kieserman', 'Elaine Grollman', 'Victoria Zussin', 'Mark Hammond', 'Wade Barnes', 'Joseph G. Graham', 'Don Quigley', 'Maurice Brenner', 'Milton Seaman', 'Mimi Weddell', 'Tom Degidon', 'Mary Hedahl', 'Eugene J. Anthony', 'Ebb Miller', 'Karen Akers', 'Annie-Joe Edwards', 'Peter McRobbie', 'Camille Saviola', 'Juliana Donald', 'Margaret Thompson', 'George Hamlin', 'Helen Hanft', 'Leo Postrel', 'Helen Miller', 'George Martin', 'Crystal Field', 'Ken Chapin', 'Robert Trebor', 'Benjamin Rayson', 'Jean Shevlin', 'Albert S. Bennett', 'Martha Sherrill', 'Gretchen MacLane', 'Edwin Bordo', 'Andrew Murphy', 'Tom Kubiak', 'Alexander Cohen', 'Raymond Serra', 'George J. Manos', 'David Tice', 'James Lynch', 'Sydney A. Blake', 'Michael Tucker', 'Peter Von Berg', 'David Weber', 'Willie Tjan', 'Lela Ivey', 'Drinda Lalumia', 'Loretta Tupper']",,3.88,https://letterboxd.com//film/the-purple-rose-of-cairo/
30,I Am Twenty,1964,Marlen Khutsiyev,"['Valentin Popov', 'Nikolai Gubenko', 'Stanislav Lyubshin', 'Marianna Vertinskaya', 'Zinaida Zinovyeva', 'Svetlana Starikova', 'Lev Prygunov', 'Tatyana Bogdanova', 'Lyudmila Selyanskaya', 'Aleksandr Blinov', 'Lev Zolotukhin', 'Pyotr Shcherbakov', 'Gennady Nekrasov', 'Nikolai Zakharchenko', 'Andrei Tarkovsky', 'Dmitri Fedorovskiy', 'Andrei Konchalovsky', 'Svetlana Svetlichnaya', 'Olga Gobzeva', 'Natalya Ryazantseva', 'Andrei Ladynin', 'Lidiya Rasstrigina', 'Rodion Nahapetov', 'Andrei Voznesenskiy', 'Mikhail Svetlov', 'Rimma Kazakova', 'Yevgeny Yevtushenko', 'Bella Akhmadulina', 'Robert Rozhdestvenskiy', 'Bulat Okudzhava', 'Grigoriy Pozhenyan', 'Boris Slutskiy', 'Larisa Burkova', 'Tamara Sovchi', 'Yevgeniy Maksimov']",,4.01,https://letterboxd.com//film/i-am-twenty/
31,Wake in Fright,1971,Ted Kotcheff,"['Gary Bond', 'Donald Pleasence', 'Chips Rafferty', 'Sylvia Kay', 'Jack Thompson', 'Peter Whittle', 'Al Thomas', 'John Meillon', 'John Armstrong', 'Slim DeGrey', 'Maggie Dence', 'Norm Erskine', 'Owen Moase', 'John Dalleen', 'Buster Fiddess', 'Tex Foote', 'Colin Hughes', 'Jacko Jackson', 'Nancy Knudsen', 'Dawn Lake', 'Harry Lawrence', 'Robert McDarra', 'Carlo Manchini', 'Liam Reynolds', 'Nelson']",,3.97,https://letterboxd.com//film/wake-in-fright/
32,"The Boy, the Mole, the Fox and the Horse",2022,"Peter Baynton, Charlie Mackesy","['Jude Coward Nicoll', 'Tom Hollander', 'Idris Elba', 'Gabriel Byrne']",,3.58,https://letterboxd.com//film/the-boy-the-mole-the-fox-and-the-horse/
33,In the Mirror of Maya Deren,2002,Martina Kudlácek,"['Maya Deren', 'Stan Brakhage', 'Judith Malina', 'Alexander Hammid', 'Chi Chaoli', 'Miriam Arsham', 'Rita Christiani', 'Katherine Dunham', 'Graeme Ferguson', 'Teiji Ito', 'Jonas Mekas']",,3.74,https://letterboxd.com//film/in-the-mirror-of-maya-deren/
34,Caché,2005,Michael Haneke,"['Daniel Auteuil', 'Juliette Binoche', 'Annie Girardot', 'Bernard Le Coq', 'Daniel Duval', 'Maurice Bénichou', 'Walid Afkir', 'Lester Makedonsky', 'Nathalie Richard', 'Denis Podalydès', 'Caroline Baehr', 'Christian Benedetti', 'Loïc Brabant', 'Aïssa Maïga', 'Jean-Jacques Brochier', 'Paule Daré', 'Louis-Do de Lencquesaing', 'Annette Faure', 'Hugo Flamigni', 'Peter Stephan Jungk', 'Diouc Koma', 'Marie Kremer', 'Nicky Marbot', 'Malik Nait Djoudi', 'Marie-Christine Orry', 'Mazarine Pingeot', 'Julie Recoing', 'Karla Suarez', 'Jean Teulé', 'Philippe Besson', 'Laurent Suire', 'Carlo Azeglio Ciampi', 'François Négret']",,3.94,https://letterboxd.com//film/cache/
35,The Thin Red Line,1998,Terrence Malick,"['Sean Penn', 'Jim Caviezel', 'Adrien Brody', 'Ben Chaplin', 'Elias Koteas', 'John Cusack', 'Woody Harrelson', 'Nick Nolte', 'John C. Reilly', 'George Clooney', 'John Travolta', 'John Dee Smith', 'Dash Mihok', 'Kirk Acevedo', 'Jared Leto', 'Mark Boone Junior', 'Matt Doran', 'Paul Gleeson', 'Don Harvey', 'Arie Verveen', 'Thomas Jane', 'Donal Logue', 'John Savage', 'Nick Stahl', 'Miranda Otto', 'Tim Blake Nelson', 'Larry Romano', 'Penelope Allen', 'Danny Hoch', 'Benjamin Green', 'Simon Billig', 'Jarrod Dean', 'Travis Fine', 'David Harrod', 'Michael McGrady', 'Stephen Spacek', 'Steven Vidler', 'Will Wallace', 'Todd Wallace', 'Simon Westaway', 'Dan Wyllie', 'Randall Craig', 'Kick Gurry', 'Randall Duk Kim', 'Darrin Klimek', 'Dane Moreton', 'Ray Samuelson', 'Justin Ward', 'Felix Williamson']",,3.97,https://letterboxd.com//film/the-thin-red-line/
