,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
20,Heat,1995,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore', 'Diane Venora', 'Amy Brenneman', 'Ashley Judd', 'Kevin Gage', 'Mykelti Williamson', 'Wes Studi', 'Ted Levine', 'Natalie Portman', 'Danny Trejo', 'William Fichtner', 'Hank Azaria', 'Dennis Haysbert', 'Tom Noonan', 'Susan Traylor', 'Kim Staunton', 'Henry Rollins', 'Jerry Trimble', 'Martin Ferrero', 'Ricky Harris', 'Tone Loc', 'Begonya Plaza', 'Hazelle Goodman', 'Ray Buktenica', 'Jeremy Piven', 'Xander Berkeley', 'Rick Avery', 'Brad Baldridge', 'Andrew Camuccio', 'Brian Camuccio', 'Max Daniels', 'Vince Deadrick Jr.', 'Charles Duke', 'Thomas Elfmont', 'Kenny Endoso', 'Kimberly Flynn', 'Steven Ford', 'Farrah Forke', 'Hannes Fritsch', 'Amanda Graves', 'Emily Graves', 'Niki Haris', 'Ted Harvey', 'Patricia Healy', 'Paul Herman', 'Cindy Katz', 'Brian Libby', 'Bill McIntosh', 'Dan Martin', 'Rick Marzan', 'Terry Miller', 'Paul Moyer', ""Daniel O'Haco"", 'Mario Roberts', 'Phillip Robinson', 'Thomas Rosales Jr.', 'Rainell Saunders', 'Kai Soremekun', 'Rey Verdugo', 'Wendy L. Walsh', 'Yvonne Zima', 'Monica Lee Bellais', 'Peter Blackwell', 'Trevor Coppola', 'Bud Cort', 'Annette Goodman', 'Mick Gould', 'Mary Kircher', 'David Koseruba', 'Melissa S. Markess', 'Andre McCoy', 'Darren Melton', 'Robert Miranda', 'Kathryn Mullen', 'Manny Perry', 'Jimmy N. Roberts', 'Iva Franks Singer', 'Gloria Koehn Straube', 'Viviane Vives', 'Tim Werner', 'Jimmy Star']",,4.18,https://letterboxd.com//film/heat-1995/
21,Collateral,2004,Michael Mann,"['Tom Cruise', 'Jamie Foxx', 'Jada Pinkett Smith', 'Mark Ruffalo', 'Javier Bardem', 'Barry Shabaka Henley', 'Peter Berg', 'Bruce McGill', 'Irma P. Hall', 'Richard T. Jones', 'Klea Scott', 'Bodhi Elfman', 'Debi Mazar', 'Emilio Rivera', 'Jamie McBride', 'Ken Waters', 'Charlie E. Schmidt', 'Michael Bentt', 'Ian Hannin', 'Robert Deamer', 'David Mersault', 'Anthony Ochoa', 'Omar Orozco', 'Edgar Sánchez', 'Cosme Urquiola', 'Thomas Rosales Jr.', 'Wade Williams', 'Paul Adelstein', 'Jessica Ferrarone', 'Troy Blendell', 'Inmo Yuon', 'Howard Bachrach', 'Chic Daniel', 'Corinne Chooey', 'JoNell Kennedy', 'Steven Kozlowski', 'Roger Stoneburner', 'Rodney Sandberg', 'George Petrina', 'Donald Dean', 'Elliott Newman', 'Trevor Ware', 'Bobby English', 'Auggie Cavanagh', 'Ronald Muldrow', 'Peter McKernan', 'Ivor Shier', 'Daniel Luján', 'Eddie Diaz', 'Joey Burns', 'John Convertino', 'Josh Cruze', 'Martin Flores', 'Rick Garcia', 'Larry G. Goldman', 'Maurilio Pineda', 'Dan Sistos', 'Jacob Valenzuela', 'Luis Villegas', 'Yussi Wenger', 'Jason Statham', 'Angelo Tiffe', 'Ismeal Vidrio', 'Ron Eckert', 'Manuel Urrego', 'Jessie Bernard', 'Luis Moncada', 'Dyna Teal', 'Sandi Schroeder', 'Michael-John Wolfe', 'Addie Yungmee', 'J.D. McElroy', 'Megan Hiratzka', 'Kate Gopacco', 'Christy Yi', 'Lisa Marie Basada', 'Wilson Wong', 'Mark Stainbrook', 'Brandon Molale', 'Marianne M. Arreaga', 'Spike Silver', 'Ben Mihm', 'Niles Roth', 'Linda Asuma', 'Paul Aulicino', 'Andy Cheng', 'Conor Dean Smith', 'Danny Del Toro', 'Michael Dotson', 'D-Teflon', 'Tara Erickson', 'Jerald Garner', 'Melissa Gomez', 'Annabella Gutman', 'Mark Kubr', 'Cameron Lee', 'Gino Montesinos', 'Masami Okada', 'Gary Rodriguez', 'Tony Sagastizado I', 'Michael Waxman', 'Henry T. Yamada']",,3.78,https://letterboxd.com//film/collateral/
22,Manhunter,1986,Michael Mann,"['William Petersen', 'Dennis Farina', 'Tom Noonan', 'Joan Allen', 'Brian Cox', 'Kim Greist', 'Stephen Lang', 'Chris Elliott', 'Michael Talbott', 'Dan Butler', 'Paul Perri', 'Patricia Charbonneau', 'Alexandra Neil', 'Frankie Faison', 'Garcelle Beauvais', 'Joanne Camp', 'David Allen Brooks', 'Kin Shriner', 'John Posey', 'Kristin Holby', 'Bill Smitrovich', 'Peter Maloney', 'Michael D. Roberts', 'Marshall Bell', 'Annie McEnroe', 'David Seaman', 'Benjamin Hendrickson', 'Michele Shay', 'Robin Moseley', 'Bill Cwikowski', 'Norman Snow', 'Jim Zubiena', 'Elisabeth Ryall', 'Gary Chavaras', 'Chris Cianciolo', 'Ken Colquitt', 'Ron Fitzgerald', 'Dennis Quick', 'David Meeks', 'Sherman Michaels', 'Robin Trapp', 'LA Winters', 'Daniel T. Snow', 'Cynthia Chvatal', 'King White', 'Mickey Lloyd', 'Dawn Carmen', 'David Fitzsimmons', 'Robert A. Burton', 'Steve Hogan', 'Mickey Pugh', 'Greg Kelly', 'Brian Kelly', 'Ryan Langhorne', 'Hannah Caggiano', 'Lindsey Fonora', 'Jason Frair', 'Bryant Arrants', 'Christopher Arrants', 'Melvin Clark', 'Renee Ayala', 'Dana Dewey', 'Stephen Hawkins', 'Leonard Johnson', 'Keith Pyles', 'Michael Russell', 'Michael Vitug', 'Pat Williams', 'Charles Yarbaugh', 'Gusmano Cesaretti', 'Melody Gold']",,3.81,https://letterboxd.com//film/manhunter/
23,Memoria,2021,Apichatpong Weerasethakul,"['Tilda Swinton', 'Agnes Brekke', 'Daniel Giménez Cacho', 'Jerónimo Barón', 'Juan Pablo Urrego', 'Jeanne Balibar', 'Aída Morales', 'Constanza Guitérrez', 'Elkin Díaz', 'Daniel Toro']",,3.7,https://letterboxd.com//film/memoria-2011/
24,Syndromes and a Century,2006,Apichatpong Weerasethakul,"['Nantarat Sawaddikul', 'Jaruchai Iamaram', 'Sophon Pukanok', 'Jenjira Pongpas', 'Arkanae Cherkam', 'Sakda Kaewbuadee', 'Nu Nimsomboon', 'Apirak Mitrpracha', 'Manasanant Porndispong', 'Wanna Wattanajinda', 'Sin Kaewpakpin', 'Norathep Panyanavakij', 'Nitipong Thinthupthai', 'Putthithorn Kammak', 'Jarunee Saengtupthim', 'Rangsan Sutthimaneenun', 'Kasansaeng Kamnerdmee']",,3.98,https://letterboxd.com//film/syndromes-and-a-century/
25,Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,"['Thanapat Saisaymar', 'Jenjira Pongpas', 'Sakda Kaewbuadee', 'Natthakarn Aphaiwonk', 'Geerasak Kulhong', 'Wallapa Mongkolprasert', 'Kanokporn Tongaram', 'Samud Kugasang', 'Sumit Suebsee', 'Mathieu Ly', 'Vien Pimdee', 'Akachai Aodvieng', 'Prakasit Padsena', 'Nikom Kammach', 'Chophaka Chaiyuchit', 'Winai Ruenrerng', 'Kumgieng Jittamaat', 'Miti Jittamaat', 'Phetmongkol Chantawong', 'Nuttapon Kemthong', 'Atapon Wernziw', 'Tongsit Rachasin', 'Thanabodee Laohawanich', 'Namthip Meaungmaha', 'Nitipong Thinthupthai', 'Corey Booth']",,3.83,https://letterboxd.com//film/uncle-boonmee-who-can-recall-his-past-lives/
26,Claire's Camera,2017,Hong Sang-soo,"['Isabelle Huppert', 'Kim Min-hee', 'Chang Mi-hee', 'Jung Jin-young', 'Shahira Fahmy', 'Yoon Hee-sun', 'Mark Peranson', 'Kang Tae-woo', 'Lee Wan-min']",,3.39,https://letterboxd.com//film/claires-camera/
27,Poetry,2010,Lee Chang-dong,"['Yoon Jeong-hee', 'Lee Da-wit', 'Kim Hee-ra', 'Ahn Nae-sang', 'Kim Yong-taek', 'Park Myung-shin', 'Jang Hye-jin', 'Kim Nam-jin', 'Kim Jong-goo', 'Kim Hye-jung', 'Min Bok-gi', 'Kim Ja-young', 'Kim Gye-sun', 'Kim Eun-yeong', 'Choi Moon-soon', 'Park Hyun-woo']",,4.1,https://letterboxd.com//film/poetry/
28,Burning,2018,Lee Chang-dong,"['Yoo Ah-in', 'Steven Yeun', 'Jun Jong-seo', 'Kim Soo-kyung', 'Choi Seung-ho', 'Moon Sung-keun', 'Min Bok-gi', 'Ban Hye-ra', 'Cha Mi-kyung', 'Lee Bong-ryeon', 'Jang Won-hyung', 'Jeon Seok-chan', 'Lee Joong-ok', 'Ok Ja-yeon', 'Kim Shin-rock', 'Song Duk-ho', 'Jeong Da-yi']",,3.99,https://letterboxd.com//film/burning-2018/
29,The Seventh Continent,1989,Michael Haneke,"['Birgit Doll', 'Dieter Berner', 'Leni Tanzer', 'Silvia Fenz', 'Robert Dietl', 'Georg Friedrich', 'Udo Samel', 'Elisabeth Rath', 'Georges Kern']",,3.93,https://letterboxd.com//film/the-seventh-continent/
30,Caché,2005,Michael Haneke,"['Daniel Auteuil', 'Juliette Binoche', 'Annie Girardot', 'Bernard Le Coq', 'Daniel Duval', 'Maurice Bénichou', 'Walid Afkir', 'Lester Makedonsky', 'Nathalie Richard', 'Denis Podalydès', 'Caroline Baehr', 'Christian Benedetti', 'Loïc Brabant', 'Aïssa Maïga', 'Jean-Jacques Brochier', 'Paule Daré', 'Louis-Do de Lencquesaing', 'Annette Faure', 'Hugo Flamigni', 'Peter Stephan Jungk', 'Diouc Koma', 'Marie Kremer', 'Nicky Marbot', 'Malik Nait Djoudi', 'Marie-Christine Orry', 'Mazarine Pingeot', 'Julie Recoing', 'Karla Suarez', 'Jean Teulé', 'Philippe Besson', 'Laurent Suire', 'Carlo Azeglio Ciampi', 'François Négret']",,3.95,https://letterboxd.com//film/cache/
31,The White Ribbon,2009,Michael Haneke,"['Christian Friedel', 'Ernst Jacobi', 'Burghart Klaußner', 'Steffi Kühnert', 'Maria Dragus', 'Susanne Lothar', 'Rainer Bock', 'Roxane Duran', 'Eddy Grahl', 'Ursina Lardi', 'Ulrich Tukur', 'Fion Mutert', 'Leonie Benesch', 'Levin Henning', 'Leonard Proxauf', 'Josef Bierbichler', 'Gabriela Maria Schmeide', 'Janina Fautz', 'Detlev Buck', 'Birgit Minichmayr', 'Carmen-Maja Antoni', 'Michael Kranz', 'Thibault Sérié', 'Johanna Busse', 'Enno Trebs', 'Theo Trebs', 'Miljan Chatelain', 'Branko Samarovski', 'Klaus Manchen', 'Sebastian Hülk', 'Kai-Peter Malina', 'Kristina Kneppek', 'Stephanie Amarell', 'Bianca Mey', 'Aaron Denkel', 'Mika Ahrens', 'Anne-Kathrin Gummich', 'Luzie Ahrens', 'Gary Bestla', 'Leonard Boes', 'Felix Boettcher', 'Sophie Czech', 'Paraschiva Dragus', 'Selina Ewald', 'Nora Gruler', 'Tim Guderjahn', 'Jonas Jennerjahn', 'Ole Joensson', 'Gerrit Langentepe', 'Lena Pankow', 'Sebastian Pauli', 'Franz Rewoldt', 'Kevin Schmolinski', 'Alexander Sedl', 'Nino Seide', 'Marvin Ray Spey', 'Malin Steffen', 'Lilli Trebs', 'Paul Wolf', 'Margarete Zimmermann', 'Christian Klischat', 'Michael Schenk', 'Hanuš Polak jr.', 'Sara Schivazappa', 'Marisa Growaldt', 'Vincent Krüger', 'Rüdiger Hauffe', 'Arndt Schwering-Sohnrey', 'Florian Köhler', 'Sebastian Łach', 'Marcin Tyrol', 'Sebastian Badurek', 'Krzysztof Zarzecki', 'Sebastian Pawlak', 'Lilli Fichtner', 'Amelie Litwin', 'Paula Kalinski', 'Matthias Linke', 'Vladik Otaryan', 'Peter Mörike', 'Hans-Matthias Glassmann', 'Nikita Vaganov', 'Mercedes Jadea Diaz', 'Simon Pawlowsky']",,4.07,https://letterboxd.com//film/the-white-ribbon/
