,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
20,All Too Well: The Short Film,2021,Taylor Swift,"['Sadie Sink', ""Dylan O'Brien"", 'Taylor Swift', 'Jake Lyon', 'Shawn Levy', 'Rashauna Eastman', 'Anthony Espino', 'Jeffrey Castillo Peña', 'Elise Turin', 'Mariama Bonetti', 'Laura Krstovska-Guerrero', 'Sophie Levy', 'Tess Levy', 'Charlie Levy', 'Colette Levy', 'Christine Brown', 'Megan Harris', 'Taylor Hennings', 'Erik Dawson', 'Jeremiah Corley', 'Mitchell Sink', 'Alex Penagos', 'Jodie Taylor', 'Diana Byrd', 'Matt Carignan', 'Jorge Dorsinville', 'Oscar Eli', 'Brianna Figueroa', 'Jason Homayoon', 'Ava Hsu', 'Molly Karow', 'Olivia Karow', 'Taylor Kobryn', 'Kamilah Marshall', 'Sokhna Mbaye', 'Ivey Monroe', 'Justine Newman', 'Melanie Nyema', 'Tara Prangell', 'Tiffany Shinn', 'Ally Woss', 'Liz June', 'Mira Moore', 'Cami Arrow', 'Thaddeus Langly', 'Anna Leonard', 'Doug Moritz', 'Stella Amberiadis', 'Julia Barnard', 'Bernadette Fong', 'Junio Enrique', 'Omar Ezat', 'Emily Garcia', 'Adam Lochridge Gerhardt', 'Martina Gordon', 'Candice Jean-Jacques', 'Acei Martin', 'Stephanie Theresa Pabon', 'Miroslav Piurko', 'Jalil Reddick', 'Tiana Soares', 'Khiry Walker']",1.0,4.32,https://letterboxd.com//film/all-too-well-the-short-film/
21,The Tragedy of Macbeth,2021,Joel Coen,"['Denzel Washington', 'Frances McDormand', 'Corey Hawkins', 'Alex Hassell', 'Kathryn Hunter', 'Bertie Carvel', 'Brendan Gleeson', 'Harry Melling', 'Miles Anderson', 'Matt Helm', 'Moses Ingram', 'Scott Subiono', 'Brian Thompson', 'Lucas Barker', 'Stephen Root', 'Robert Gilbert', 'Ethan Hutchison', 'James Udom', 'Richard Short', 'Sean Patrick Thomas', 'Ralph Ineson', 'Jefferson Mays', 'Olivia Washington', 'Susan James Berger', 'Wayne T. Carr', 'Jacob McCarthy', 'Nancy Daly', 'Kayden Alexander Koshelev', 'Ledger Fuller', 'T.K. Weaver', 'Edward Headington', 'Tim Oakes', 'Peter Janov', 'Max Baker', 'Madison Randolph', 'Phil DiGennaro']",4.0,3.75,https://letterboxd.com//film/the-tragedy-of-macbeth/
22,Dune,2021,Denis Villeneuve,"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Josh Brolin', 'Stellan Skarsgård', 'Dave Bautista', 'Sharon Duncan-Brewster', 'Stephen McKinley Henderson', 'Zendaya', 'Chang Chen', 'Charlotte Rampling', 'Jason Momoa', 'Javier Bardem', 'David Dastmalchian', 'Babs Olusanmokun', 'Golda Rosheuvel', 'Roger Yuan', 'Benjamin Clémentine', 'Souad Faress', 'Seun Shote', 'Neil Bell', 'Oliver Ryan', 'Stephen Collins', 'Charlie Rawes', 'Richard Carter', 'Benjamin Dilloway', 'Elmi Rashid Elmi', 'Tachia Newall', 'Gloria Obianyo', 'Fehinti Balogun', 'Dora Kápolnai-Schvab', 'Joelle', 'Jimmy Walker', 'Paul Bullion', 'Milena Sidorova', 'János Timkó', 'Jean Gilpin', 'Marianne Faithfull', 'Ellen Dubin']",,3.93,https://letterboxd.com//film/dune-2021/
23,Dug Days,2021,Bob Peterson,"['Bob Peterson', 'Ed Asner']",,3.89,https://letterboxd.com//film/dug-days/
24,Vortex,2021,Gaspar Noé,"['Dario Argento', 'Françoise Lebrun', 'Alex Lutz', 'Kamel Benchemekh', 'Corinne Bruand', 'Nathalie Roubaud', 'Kylian Dheret', 'Philippe Rouyer', 'Jean-Pierre Bouyxou', 'Laurent Aknin', 'Stephane Derderian', 'Jean-Baptiste Thoret']",4.0,3.85,https://letterboxd.com//film/vortex-2021/
25,The French Dispatch,2021,Wes Anderson,"['Bill Murray', 'Benicio del Toro', 'Adrien Brody', 'Tilda Swinton', 'Léa Seydoux', 'Frances McDormand', 'Timothée Chalamet', 'Lyna Khoudri', 'Jeffrey Wright', 'Mathieu Amalric', 'Stephen Park', 'Owen Wilson', 'Bob Balaban', 'Henry Winkler', 'Lois Smith', 'Tony Revolori', 'Christoph Waltz', 'Cécile de France', 'Guillaume Gallienne', 'Rupert Friend', 'Hippolyte Girardot', 'Liev Schreiber', 'Willem Dafoe', 'Edward Norton', 'Saoirse Ronan', 'Elisabeth Moss', 'Jason Schwartzman', 'Anjelica Huston', 'Denis Ménochet', 'Larry Pine', 'Morgane Polanski', 'Félix Moati', 'Mohamed Belhadjine', 'Nicolas Avinée', 'Alex Lawther', 'Tom Hudson', 'Lily Taïeb', 'Stéphane Bak', 'Winsen Ait Hellal', 'Mauricette Coudivat', 'Damien Bonnard', 'Rodolphe Pauly', 'Antonia Desplat', 'Fisher Stevens', 'Griffin Dunne', 'Pablo Pauly', 'Wallace Wolodarsky', 'Anjelica Bette Fellini', 'Benjamin Lavernhe', 'Toheeb Jimoh', 'Jarvis Cocker', 'Bruno Delbonnel', 'Grégoire Leprince-Ringuet', 'Sam Haygarth']",,3.73,https://letterboxd.com//film/the-french-dispatch/
26,The Worst Person in the World,2021,Joachim Trier,"['Renate Reinsve', 'Anders Danielsen Lie', 'Herbert Nordrum', 'Hans Olav Brenner', 'Helene Bjørnebye', 'Vidar Sandem', 'Maria Grazia Di Meo', 'Lasse Gretland', 'Karen Røise Kielland', 'Marianne Krogh', 'Thea Stabell', 'Deniz Kaya', 'Eia Skjønsberg', 'Ruby Dagnall', 'Torgny Amdam', 'Rebekka Jynge', 'Sigrid Sollund', 'Are Skeie Hermansen', 'Siri Forberg', 'Sofia Schandy Bloch', 'Anna Dworak', 'Savannah Marie Schei', 'August Wilhelm Méd Brenner', 'Karla Nitteberg Aspelin', 'Tumi Løvik Jakobson', 'Jonathan Nielssen', 'Maren Emilie Haagenrud Buskoven', 'Olav Stubberud', 'Martin Gran', 'Geir Ørnholt', 'Tobias Klemeyer Smith', 'Nataniel Nordnes', 'Trygve Indrelid', 'Trude Schjelderup Iversen', 'Zoe Maland Rogers', 'Jonas Lund', 'Hildur Kristinsdottir', 'Johanna Brym Ryg', 'Thomas Teige', 'Margrethe Glambek', 'Ine Jansen', 'Gisle Tveito']",4.0,4.12,https://letterboxd.com//film/the-worst-person-in-the-world/
27,After Yang,2021,Kogonada,"['Colin Farrell', 'Jodie Turner-Smith', 'Malea Emma Tjandrawidjaja', 'Justin H. Min', 'Ritchie Coster', 'Sarita Choudhury', 'Clifton Collins Jr.', 'Haley Lu Richardson', 'Orlagh Cassidy', 'Ava DeMary', 'Lee Wong', 'Brett Dier', 'Eve Lindley', 'Adeline Kerns', 'Ansley Kerns', 'Nana Mensah', 'An Li Bogan', 'Deborah Hedwall', 'Katie Honaker', 'Alberto Del Saz', 'Jesse Kovarsky', 'Marcella Lewis', 'Maria Majoli', 'Toni Melaas', 'Mina Nishimura', 'Lily Ockwell', 'JC Shuster', 'Megan Williams', 'Taylor Ortega', 'Jae Kim']",4.5,3.83,https://letterboxd.com//film/after-yang/
28,Luca,2021,Enrico Casarosa,"['Jacob Tremblay', 'Jack Dylan Grazer', 'Emma Berman', 'Saverio Raimondo', 'Maya Rudolph', 'Marco Barricelli', 'Jim Gaffigan', 'Peter Sohn', 'Lorenzo Crisci', 'Marina Massironi', 'Luigi La Monica', 'Sandy Martin', 'Giacomo Gianniotti', 'Elisa Gabrielli', 'Mimi Maynard', 'Sacha Baron Cohen', 'Francesca Fanti', 'Jonathan Nichols', 'Enrico Casarosa', 'Jim Pirri', 'Arturo Sorino']",,3.86,https://letterboxd.com//film/luca-2021/
29,The Mitchells vs. The Machines,2021,Michael Rianda,"['Abbi Jacobson', 'Danny McBride', 'Maya Rudolph', 'Michael Rianda', 'Eric André', 'Olivia Colman', 'Fred Armisen', 'Beck Bennett', 'Chrissy Teigen', 'John Legend', 'Charlyne Yi', 'Blake Griffin', ""Conan O'Brien"", 'Doug the Pug', 'Melissa Sturm', 'Doug Nicholas', 'Madeleine McGraw', 'Ellen Wightman', 'Sasheer Zamata', 'Elle Mills', 'Alex Hirsch', 'Jay Pharoah', 'Natalie Canizares', 'Jeff Rowe', 'Zeno Robinson', 'Grey DeLisle', 'Will Allegra', 'Alison Rich', 'Natalia del Riego', 'Libby Thomas Dickey', 'Kerry Gutierrez', 'Todd Hansen', 'Lex Lang', 'Greg Levitan', 'Griffin McElroy', 'Caitlin McKenna', 'Andrew Morgado', 'Illya Owens', 'Juan Pacheco', 'Ashley Peldon', 'Jim Pirri', 'Michelle Ruff', 'Justin Shenkarow', 'Shane Sweet', 'Brittanny Tuerpe', 'Alana Webster', 'Jason Linere-White', 'Lisa Wilhoit', 'Adam Wylie']",,3.93,https://letterboxd.com//film/the-mitchells-vs-the-machines/
