,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
24,Only Angels Have Wings,1939,Howard Hawks,"['Cary Grant', 'Jean Arthur', 'Richard Barthelmess', 'Rita Hayworth', 'Thomas Mitchell', 'Allyn Joslyn', 'Sig Ruman', 'Victor Kilian', 'John Carroll', 'Don Barry', 'Noah Beery Jr.', 'Pat Flaherty', 'Stanley Brown', 'Cecilia Callejo', 'Candy Candido', 'Vernon Dent', 'Forbes Murray', 'Robert Sterling', 'Rafael Alcayde', 'Enrique Acosta', 'Dick Botiller', 'Curley Dresden', 'James Millican', 'Pedro Regas', 'Manuel Álvarez Maciste', 'Milisa Sierra', 'Lucio Villegas', 'Pat West', 'Wilson Benge', 'Lew Davis', 'Eddie Foster', 'Ed Randolph', 'Al Rhein', 'Ky Robinson', 'Harry A. Bailey', 'Raúl Lechuga', 'Tessie Murray', 'Aurora Navarro', 'Elena Durán', 'Budd Fine', 'Tex Higginson', 'Charles R. Moore', 'Inez Palange', 'Sammee Tong', 'Francisco Marán', 'Jack Low', 'Victor Travis']",,4.04,https://letterboxd.com//film/only-angels-have-wings/
25,Captain Blood,1935,Michael Curtiz,"['Errol Flynn', 'Olivia de Havilland', 'Lionel Atwill', 'Basil Rathbone', 'Ross Alexander', 'Guy Kibbee', 'Henry Stephenson', 'Robert Barrat', 'Hobart Cavanaugh', 'Donald Meek', 'Jessie Ralph', 'Forrester Harvey', 'Frank McGlynn Sr.', 'Holmes Herbert', 'David Torrence', 'J. Carrol Naish', 'Pedro de Cordoba', 'George Hassell', 'Harry Cording', 'Leonard Mudie', 'Ivan F. Simpson', 'Stuart Casey', 'David Cavendish', 'Mary Forbes', 'E. E. Clive', 'Colin Kenny', 'Maude Leslie', 'Gardner James', 'Vernon Steele', 'Matthew Beard', ""Yola d'Avril"", 'Halliwell Hobbes', 'Murray Kinnell', 'Chris-Pin Martin', 'Jim Mason', 'Paul Panzer', 'Frank Puglia', 'Georges Renavent', 'Jim Thorpe']",,3.68,https://letterboxd.com//film/captain-blood/
26,Modern Times,1936,Charlie Chaplin,"['Charlie Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford', 'Chester Conklin', 'Hank Mann', 'Stanley Blystone', 'Al Ernest Garcia', 'Richard Alexander', 'Cecil Reynolds', 'Mira McKinney', 'Murdock MacQuarrie', 'Wilfred Lucas', 'Edward LeSaint', 'Fred Malatesta', 'Sammy Stein', 'Juana Sutton', 'Ted Oliver', 'Norman Ainsley', 'Bobby Barber', 'Heinie Conklin', 'Gloria DeHaven', 'Pat Flaherty', 'Chuck Hamilton', 'Pat Harmon', 'Lloyd Ingraham', 'Walter James', 'Jack Low', 'Buddy Messinger', 'Bruce Mitchell', 'Frank Moran', 'James C. Morton', 'Louis Natheaux', 'J. C. Nugent', 'Russ Powell', 'John Rand', 'Harry Wilson']",,4.2,https://letterboxd.com//film/modern-times/
27,City Lights,1931,Charlie Chaplin,"['Charlie Chaplin', 'Virginia Cherrill', 'Harry Myers', 'Al Ernest Garcia', 'Hank Mann', 'Albert Austin', 'Eddie Baker', 'Henry Bergman', 'Buster Brodie', 'Jeanne Carpenter', 'Tom Dempsey', 'James Donnelly', 'Ray Erlenborn', 'Robert Graves', 'Charles Hammond', 'Joseph Herrick', 'Austen Jewell', 'Willie Keeler', 'Robert Parrish', 'John Rand', 'W.C. Robinson', 'Cy Slocum', 'Tony Stabenau', 'Mark Strong', 'Tiny Ward', 'Stanhope Wheatcroft', 'Florence Wix', 'Granville Redmond', 'Florence Lee', 'Jean Harlow']",,4.25,https://letterboxd.com//film/city-lights/
28,Swing Time,1936,George Stevens,"['Fred Astaire', 'Ginger Rogers', 'Victor Moore', 'Helen Broderick', 'Eric Blore', 'Betty Furness', 'Georges Metaxa', 'Landers Stevens', 'Jack Goode', 'Gerald Hamer']",,3.56,https://letterboxd.com//film/swing-time/
29,Pi,1998,Darren Aronofsky,"['Sean Gullette', 'Mark Margolis', 'Ben Shenkman', 'Pamela Hart', 'Stephen Pearlman', 'Samia Shoaib', 'Ajay Naidu', 'Kristyn Mae-Anne Lao', 'Espher Lao Nieves', 'Joanne Gordon', 'Lauren Fox', 'Stanley B. Herman', 'Clint Mansell', 'Tom Tumminello', 'Henri Falconi', 'Isaac Fried', 'Ari Handel', 'Oren Sarch', 'Lloyd J. Schwartz', 'Richard Lifschutz', 'David Strahlberg', 'Peter Cheyenne', 'David Tawil', 'J.C. Islander', 'Abraham Aronofsky', 'Ray Seiden', 'Scott Franklin', 'Chris Johnson', 'Sal Monte']",,3.63,https://letterboxd.com//film/pi/
30,Mystery Train,1989,Jim Jarmusch,"['Youki Kudoh', 'Masatoshi Nagase', ""Screamin' Jay Hawkins"", 'Cinqué Lee', 'Nicoletta Braschi', 'Elizabeth Bracco', 'Joe Strummer', 'Rick Aviles', 'Steve Buscemi', 'Tom Noonan', 'Rufus Thomas', 'Tom Waits', 'Jodie Markell', 'William Hoch', 'Pat Hoch', 'Joshua Elvis Hoch', 'Reginald Freeman', 'Beverly Prye', 'Sy Richardson', 'Stephen Jones', 'Lowell Roberts', 'Sara Driver', 'Richard Boes', 'Darryl Daniel', 'Calvin Brown', 'Jim Stark', 'Elan Yaari', 'Vondie Curtis-Hall', 'Royale Johnson', 'Winston Hoffman', 'Rockets Redglare', 'Marvell Thomas', 'Charles Ponder', ""D'Army Bailey""]",,3.92,https://letterboxd.com//film/mystery-train/
31,Walkabout,1971,Nicolas Roeg,"['Jenny Agutter', 'Luc Roeg', 'David Gulpilil', 'John Meillon', 'Robert McDarra', 'Peter Carver', 'John Illingsworth', 'Hilary Bamberger', 'Barry Donnelly', 'Noeline Brown', 'Carlo Manchini']",,3.9,https://letterboxd.com//film/walkabout/
32,Grand Hotel,1932,Edmund Goulding,"['Greta Garbo', 'John Barrymore', 'Joan Crawford', 'Wallace Beery', 'Lionel Barrymore', 'Lewis Stone', 'Jean Hersholt', 'Robert McWade', 'Purnell Pratt', 'Ferdinand Gottschalk', 'Rafaela Ottiano', 'Morgan Wallace', 'Tully Marshall', 'Frank Conroy', 'Murray Kinnell', 'Edwin Maxwell', 'Mary Carlisle', 'John Davidson', 'Allen Jenkins', 'Eric Mayne', 'Philo McCullough', 'Greta Meyer', 'Bert Moorhouse', 'Sarah Padden', 'Bodil Rosing', 'Leo White', 'Joan Barclay', 'Max Barwyn', 'Edward Biby', 'Oliver Cross', 'Wally Dean']",,3.49,https://letterboxd.com//film/grand-hotel/
33,The Lives of Others,2006,Florian Henckel von Donnersmarck,"['Martina Gedeck', 'Ulrich Mühe', 'Sebastian Koch', 'Ulrich Tukur', 'Thomas Thieme', 'Hans-Uwe Bauer', 'Volkmar Kleinert', 'Matthias Brenner', 'Charly Hübner', 'Herbert Knaup', 'Bastian Trost', 'Marie Gruber', 'Volker Michalowski', 'Werner Daehn', 'Hinnerk Schönemann', 'Thomas Arnold', 'Ludwig Blochberger', 'Martin Brambach', 'Hubertus Hartmann', 'Paul Faßnacht', 'Paul Maximilian Schüller', 'Susanna Kraus', 'Michael Gerber', 'Fabian von Klitzing', 'Harald Polzin', 'Sheri Hagen', 'Gitta Schweighöfer', 'Hildegard Schroedter', 'Inga Birkenfeld', 'Jens Wassermann', 'Gabi Fleming', 'Kai Ivo Baulitz', 'Anabelle D. Munro', 'Klaus Münster']",,4.13,https://letterboxd.com//film/the-lives-of-others/
