,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
21,RRR,2022,S. S. Rajamouli,"['N. T. Rama Rao Jr.', 'Ram Charan', 'Ajay Devgn', 'Alia Bhatt', 'Shriya Saran', 'Samuthirakani', 'Ray Stevenson', 'Alison Doody', 'Olivia Morris', 'Edward Sonnenblick', 'Makrand Deshpande', 'Chatrapathi Sekhar', 'Rajiv Kanakala', 'Rahul Ramakrishna', 'Ahmareen Anjum', 'Twinkle Sharma', 'Varun Buddhadev', 'Spandan Chaturvedi', 'R. Bhakti Klein', 'Mark Bennington', 'Gaurav Pareek', ""Alexx O'Nell"", 'S. S. Rajamouli', 'Kirron Arya', 'Akash Boro', 'Eduard Buhac', 'Narendra Singh Dhami', 'Oleg Karpenko', 'Ivan Kostadinov', 'Jason Yeboa']",,4.17,https://letterboxd.com//film/rrr/
22,Shame,1968,Ingmar Bergman,"['Liv Ullmann', 'Max von Sydow', 'Sigge Fürst', 'Gunnar Björnstrand', 'Birgitta Valberg', 'Hans Alfredson', 'Ingvar Kjellson', 'Frank Sundström', 'Vilgot Sjöman', 'Bengt Eklund', 'Gösta Prüzelius', 'Willy Peters', 'Barbro Hiort af Ornäs', 'Agda Helin', 'Ellika Mann', 'Rune Lindström', 'Axel Düberg', 'Lars Amble', 'Ulf Johansson', 'Per Berglund', 'Jan Bergman', 'Karl-Arne Bergman', 'Gregor Dahlman', 'Nils Fogeby', 'Karl-Axel Forssberg', 'Åke Jörnfalk', 'Eivor Kullberg', 'Monica Lindberg', 'Stig Lindberg', 'Frej Lindqvist', 'Börje Lundh', 'Georg Skarstedt', 'Björn Thambert', 'Nils Whiten', 'Brian Wikström', 'Brita Öberg']",,4.11,https://letterboxd.com//film/shame/
23,Hour of the Wolf,1968,Ingmar Bergman,"['Max von Sydow', 'Liv Ullmann', 'Gertrud Fridh', 'Georg Rydeberg', 'Erland Josephson', 'Naima Wifstrand', 'Ulf Johansson', 'Gudrun Brost', 'Bertil Anderberg', 'Ingrid Thulin', 'Agda Helin', 'Lenn Hjortzberg', 'Mikael Rundquist', 'Mona Seilitz', 'Folke Sundquist']",,3.93,https://letterboxd.com//film/hour-of-the-wolf/
24,Still Walking,2008,Hirokazu Kore-eda,"['Hiroshi Abe', 'Kirin Kiki', 'Yui Natsukawa', 'Yoshio Harada', 'YOU', 'Kazuya Takahashi', 'Hotaru Nomoto', 'Ryôga Hayashi', 'Shohei Tanaka', 'Susumu Terajima']",,4.22,https://letterboxd.com//film/still-walking/
25,The River,1951,Jean Renoir,"['Nora Swinburne', 'Esmond Knight', 'Arthur Shields', 'Suprova Mukerjee', 'Thomas E. Breen', 'Patricia Walters', 'Radha Burnier', 'Adrienne Corri', 'June Tripp', 'Nimai Barik', 'Richard R. Foster', 'Jane Harris', 'Jennifer Harris', 'Trilak Jetley', 'Bhogwan Singh', 'Penelope Wilkinson', 'Cecilia Wood']",,3.79,https://letterboxd.com//film/the-river/
26,All About My Mother,1999,Pedro Almodóvar,"['Cecilia Roth', 'Marisa Paredes', 'Candela Peña', 'Antonia San Juan', 'Penélope Cruz', 'Rosa María Sardà', 'Fernando Fernán Gómez', 'Fernando Guillén', 'Toni Cantó', 'Eloy Azorín', 'Carlos Lozano', 'Manuel Morón', 'José Luis Torrijo', 'Juan José Otegui', 'Carmen Balagué', 'Malena Gutiérrez', 'Yael Barnatán', 'Carme Fortuny', 'Patxi Freytez', 'Juan Marquez', 'Michel Ruben', 'Daniel Lanchas', 'Rosa Manaut', 'Carlos García Cambero', 'Agustín Almodóvar', 'Paz Sufrategui', 'Lola García', 'Esther García', 'Inma Subirà', 'Cayetana Guillén Cuervo', 'Alexia Pardo', 'Lluís Pasqual', 'Fito Páez']",,4.11,https://letterboxd.com//film/all-about-my-mother/
27,Kes,1969,Ken Loach,"['David Bradley', 'Freddie Fletcher', 'Lynne Perrie', 'Colin Welland', 'Brian Glover', 'Bob Bowes', 'Bernard Atha', 'Joey Kaye', 'Bill Dean', 'Duggie Brown', 'Harry Markham', 'Zoe Sunderland', 'Robert Naylor', 'Joe Miller', 'Eric Bolderson', 'George Speed', 'Trevor Hesketh', 'Geoffrey Banks', 'David Glover']",,4.11,https://letterboxd.com//film/kes/
28,The Loneliness of the Long Distance Runner,1962,Tony Richardson,"['Michael Redgrave', 'Tom Courtenay', 'Avis Bunnage', 'Alec McCowen', 'James Bolam', 'Joe Robinson', 'Dervis Ward', 'Topsy Jane', 'Julia Foster', 'James Fox', 'John Thaw', 'Arthur Mullard', 'Philip Martin', 'John Brooking', 'Raymond Dyer', 'Anthony Sagar', 'Peter Kriss', 'Peter Madden', 'Dallas Cavell', 'James Cairncross', 'Frank Finlay', 'Robert Percival', 'Ray Austin', 'Derek Fowlds', 'Billy Murray']",,3.81,https://letterboxd.com//film/the-loneliness-of-the-long-distance-runner/
29,The Musicians,1960,Kazimierz Karabasz,,,3.36,https://letterboxd.com//film/the-musicians/
30,The Face of Another,1966,Hiroshi Teshigahara,"['Tatsuya Nakadai', 'Machiko Kyō', 'Mikijirō Hira', 'Kyōko Kishida', 'Eiji Okada', 'Miki Irie', 'Minoru Chiaki', 'Hideo Kanze', 'Kunie Tanaka', 'Etsuko Ichihara', 'Eiko Muramatsu', 'Yoshie Minami', 'Hisashi Igawa', 'Kakuya Saeki', 'Sen Yano', 'Bibari Maeda', 'Shinobu Itomi', 'Robert Dunham', 'Toru Takemitsu', 'Mie Anso', 'Itomi Rei', 'Yuriko Abe']",,4.16,https://letterboxd.com//film/the-face-of-another/
